ticker,earnings_date,fiscalDateEnding,reportedEPS,estimatedEPS,surprise,surprisePercentage
TXN,2022-07-26,2022-06-30,2.52,2.15,0.37,17.2093
TXN,2022-04-26,2022-03-31,2.35,2.17,0.18,8.2949
TXN,2022-01-25,2021-12-31,2.33,1.96,0.37,18.8776
TXN,2021-10-26,2021-09-30,2.12,2.09,0.03,1.4354
TXN,2021-07-21,2021-06-30,2.1,1.85,0.25,13.5135
TXN,2021-04-27,2021-03-31,1.87,1.58,0.29,18.3544
TXN,2021-01-26,2020-12-31,1.86,1.34,0.52,38.806
TXN,2020-10-20,2020-09-30,1.5,1.29,0.21,16.2791
TXN,2020-07-21,2020-06-30,1.57,0.92,0.65,70.6522
TXN,2020-04-21,2020-03-31,1.3,1.02,0.28,27.451
TXN,2020-01-22,2019-12-31,1.12,1.02,0.1,9.8039
TXN,2019-10-22,2019-09-30,1.48,1.44,0.04,2.7778
TXN,2019-07-23,2019-06-30,1.33,1.26,0.07,5.5556
TXN,2019-04-23,2019-03-31,1.26,1.13,0.13,11.5044
TXN,2019-01-23,2018-12-31,1.27,1.24,0.03,2.4194
